id,value,min,max
Km0210_0039,0.1,0.02,0.5
Km0211_0039,0.1,0.02,0.5
Vmax_0040,0.458744,0.0917488,2.29372
Keq_0040,0.2,0.04,1
Km0349_0040,0.1,0.02,0.5
Km0210_0040,0.1,0.02,0.5
Km1322_0040,0.1,0.02,0.5
Vmax_0041,0.00145043,0.000290086,0.00725215
Keq_0041,2,0.4,10
Km0231_0041,0.1,0.02,0.5
Km1212_0041,0.1,0.02,0.5
Km1207_0041,0.1,0.02,0.5
Km1445_0041,0.1,0.02,0.5
Vmax_0060,0.288518,0.0577036,1.44259
Keq_0060,2,0.4,10
Km0165_0060,0.1,0.02,0.5
Km0009_0060,0.1,0.02,0.5
Vmax_0061,0.673209,0.134642,3.36605
Keq_0061,0.1156,0.02312,0.578
Km0009_0061,0.1,0.02,0.5
Km1198_0061,1.5,0.3,7.5
Km0010_0061,0.1,0.02,0.5
Km1203_0061,0.0867,0.01734,0.4335
Vmax_0065,0.642242,0.128448,3.21121
Keq_0065,1.30719,0.261438,6.53595
Km0261_0065,0.1,0.02,0.5
Km1360_0065,0.153,0.0306,0.765
Km0324_0065,0.1,0.02,0.5
Km1322_0065,0.1,0.02,0.5
Vmax_0079,0.963712,0.192742,4.81856
Keq_0079,0.179217,0.0358434,0.896084
Km0301_0079,0.1,0.02,0.5
Km0434_0079,4.29,0.858,21.45
Km0999_0079,0.1,0.02,0.5
Km0302_0079,0.1,0.02,0.5
Km0394_0079,1.29,0.258,6.45
Km0991_0079,0.298,0.0596,1.49
Km1322_0079,0.1,0.02,0.5
Vmax_0080,0.176077,0.0352153,0.880383
Keq_0080,2,0.4,10
Km0306_0080,0.1,0.02,0.5
Km1212_0080,0.1,0.02,0.5
Km0322_0080,0.1,0.02,0.5
Km1207_0080,0.1,0.02,0.5
Vmax_0091,5.91026,1.18205,29.5513
Keq_0091,2,0.4,10
Km0335_0091,0.1,0.02,0.5
Km0340_0091,0.1,0.02,0.5
Vmax_0096,1.36527,0.273054,6.82634
Keq_0096,2,0.4,10
Km0146_0096,0.1,0.02,0.5
Km1212_0096,0.1,0.02,0.5
Km0016_0096,0.1,0.02,0.5
Km1207_0096,0.1,0.02,0.5
Vmax_0097,1.36527,0.273054,6.82634
Keq_0097,0.0720126,0.0144025,0.360063
Km1399_0097,0.527,0.1054,2.635
Km0146_0097,0.1,0.02,0.5
Km0456_0097,0.1,0.02,0.5
Vmax_0103,0.110676,0.0221351,0.553378
Keq_0103,2,0.4,10
Km0373_0103,0.1,0.02,0.5
Km0367_0103,0.1,0.02,0.5
Km0529_0103,0.1,0.02,0.5
Vmax_0108,0.90038,0.180076,4.5019
Keq_0108,0.601399,0.12028,3.00699
Km0373_0108,0.1,0.02,0.5
Km0434_0108,4.29,0.858,21.45
Km0445_0108,0.1,0.02,0.5
Km0394_0108,1.29,0.258,6.45
Km1101_0108,0.1,0.02,0.5
Km1322_0108,0.1,0.02,0.5
Vmax_0111,0.141738,0.0283477,0.708692
Keq_0111,111.6,22.32,558
Km0373_0111,0.1,0.02,0.5
Km0362_0111,55.8,11.16,279
Km0529_0111,0.1,0.02,0.5
Vmax_0115,0.366226,0.0732452,1.83113
Keq_0115,0.601399,0.12028,3.00699
Km0434_0115,4.29,0.858,21.45
Km1192_0115,0.1,0.02,0.5
Km0394_0115,1.29,0.258,6.45
Km1191_0115,0.1,0.02,0.5
Vmax_0118,0.366226,0.0732452,1.83113
Keq_0118,1.1745,0.234899,5.87248
Km0145_0118,0.1,0.02,0.5
Km0991_0118,0.298,0.0596,1.49
Km0180_0118,0.175,0.035,0.875
Km1182_0118,0.1,0.02,0.5
Vmax_0142,0.0414347,0.00828694,0.207173
Keq_0142,2.64615,0.529231,13.2308
Km0386_0142,0.1,0.02,0.5
Km0434_0142,4.29,0.858,21.45
Km0394_0142,1.29,0.258,6.45
Km0423_0142,0.44,0.088,2.2
Vmax_0144,0.0295962,0.00591924,0.147981
Keq_0144,0.2,0.04,1
Km1413_0144,0.1,0.02,0.5
Km0386_0144,0.1,0.02,0.5
Km1012_0144,0.1,0.02,0.5
Vmax_0148,2.635,0.527001,13.175
Keq_0148,1.76319,0.352638,8.81596
Km0423_0148,0.44,0.088,2.2
Km0434_0148,4.29,0.858,21.45
Km0394_0148,1.29,0.258,6.45
Vmax_0151,0.209503,0.0419005,1.04751
Keq_0151,0.2,0.04,1
Km0299_0151,0.1,0.02,0.5
Km0403_0151,0.1,0.02,0.5
Km0725_0151,0.1,0.02,0.5
Vmax_0152,0.249261,0.0498521,1.2463
Keq_0152,0.88,0.176,4.4
Km0393_0152,0.1,0.02,0.5
Km0423_0152,0.44,0.088,2.2
Km0725_0152,0.1,0.02,0.5
Vmax_0153,0.747782,0.149556,3.73891
Keq_0153,0.126622,0.0253245,0.633112
Km0785_0153,0.975,0.195,4.875
Km0849_0153,0.162,0.0324,0.81
Km0973_0153,0.1,0.02,0.5
Km0393_0153,0.1,0.02,0.5
Km0739_0153,0.1,0.02,0.5
Km1322_0153,0.1,0.02,0.5
Vmax_0154,0.250165,0.0500329,1.25082
Keq_0154,0.601399,0.12028,3.00699
Km0298_0154,0.1,0.02,0.5
Km0434_0154,4.29,0.858,21.45
Km0201_0154,0.1,0.02,0.5
Km0394_0154,1.29,0.258,6.45
Vmax_0165,63.84,12.768,319.2
Keq_0165,10788.8,2157.77,53944.2
Km0359_0165,0.178,0.0356,0.89
Km1203_0165,0.0867,0.01734,0.4335
Km0680_0165,55.5,11.1,277.5
Km1198_0165,1.5,0.3,7.5
Vmax_0173,0.256195,0.051239,1.28098
Keq_0173,626.966,125.393,3134.83
Km0359_0173,0.178,0.0356,0.89
Km1207_0173,0.1,0.02,0.5
Km0362_0173,55.8,11.16,279
Km1212_0173,0.1,0.02,0.5
Vmax_0195,0.171932,0.0343865,0.859662
Keq_0195,0.125151,0.0250302,0.625756
Km0568_0195,0.193,0.0386,0.965
Km1543_0195,0.467,0.0934,2.335
Km0409_0195,0.02,0.004,0.1
Km1538_0195,0.282,0.0564,1.41
Vmax_0202,0.429508,0.0859016,2.14754
Keq_0202,2,0.4,10
Km0427_0202,0.1,0.02,0.5
Km1386_0202,0.1,0.02,0.5
Km0633_0202,0.1,0.02,0.5
Km1187_0202,0.1,0.02,0.5
Vmax_0203,0.118485,0.023697,0.592424
Keq_0203,3.14092,0.628184,15.7046
Km0515_0203,0.1,0.02,0.5
Km0999_0203,0.1,0.02,0.5
Km0427_0203,0.1,0.02,0.5
Km0991_0203,0.298,0.0596,1.49
Km1399_0203,0.527,0.1054,2.635
Vmax_0207,0.26159,0.052318,1.30795
Keq_0207,0.2,0.04,1
Km0015_0207,0.1,0.02,0.5
Km0725_0207,0.1,0.02,0.5
Km0965_0207,0.1,0.02,0.5
Vmax_0208,0.78477,0.156954,3.92385
Keq_0208,0.205128,0.0410256,1.02564
Km0434_0208,4.29,0.858,21.45
Km0973_0208,0.1,0.02,0.5
Km0979_0208,0.1,0.02,0.5
Km0015_0208,0.1,0.02,0.5
Km0423_0208,0.44,0.088,2.2
Km0633_0208,0.1,0.02,0.5
Vmax_0211,1.52184,0.304368,7.60919
Keq_0211,0.0611282,0.0122256,0.305641
Km0434_0211,4.29,0.858,21.45
Km0973_0211,0.1,0.02,0.5
Km0999_0211,0.1,0.02,0.5
Km0423_0211,0.44,0.088,2.2
Km0633_0211,0.1,0.02,0.5
Km0969_0211,0.1,0.02,0.5
Km0991_0211,0.298,0.0596,1.49
Vmax_0214,0.331273,0.0662546,1.65636
Keq_0214,2,0.4,10
Km0455_0214,0.1,0.02,0.5
Km0973_0214,0.1,0.02,0.5
Km1194_0214,0.1,0.02,0.5
Km1322_0214,0.1,0.02,0.5
Vmax_0215,1.1283,0.22566,5.64149
Keq_0215,0.601399,0.12028,3.00699
Km0434_0215,4.29,0.858,21.45
Km0973_0215,0.1,0.02,0.5
Km0295_0215,0.1,0.02,0.5
Km0394_0215,1.29,0.258,6.45
Vmax_0216,3.3944,0.67888,16.972
Keq_0216,1.1745,0.234899,5.87248
Km0991_0216,0.298,0.0596,1.49
Km1271_0216,0.1,0.02,0.5
Km0180_0216,0.175,0.035,0.875
Km0973_0216,0.1,0.02,0.5
Vmax_0219,1.77304,0.354608,8.8652
Keq_0219,0.2,0.04,1
Km0295_0219,0.1,0.02,0.5
Km1212_0219,0.1,0.02,0.5
Km0978_0219,0.1,0.02,0.5
Km1207_0219,0.1,0.02,0.5
Km1322_0219,0.1,0.02,0.5
Vmax_0225,0.201963,0.0403926,1.00981
Keq_0225,0.04662,0.00932401,0.2331
Km0434_0225,4.29,0.858,21.45
Km1386_0225,0.1,0.02,0.5
Km0326_0225,0.1,0.02,0.5
Km0633_0225,0.1,0.02,0.5
Vmax_0226,139.444,27.8888,697.22
Keq_0226,66.5116,13.3023,332.558
Km0394_0226,1.29,0.258,6.45
Km1322_0226,0.1,0.02,0.5
Km0434_0226,4.29,0.858,21.45
Vmax_0231,0.0183598,0.00367195,0.0917988
Keq_0231,2,0.4,10
Km0262_0231,0.1,0.02,0.5
Km1212_0231,0.1,0.02,0.5
Km0122_0231,0.1,0.02,0.5
Km1207_0231,0.1,0.02,0.5
Vmax_0233,0.027662,0.0055324,0.13831
Keq_0233,20,4,100
Km0664_0233,0.1,0.02,0.5
Km1212_0233,0.1,0.02,0.5
Km1275_0233,0.1,0.02,0.5
Km0662_0233,0.1,0.02,0.5
Km1207_0233,0.1,0.02,0.5
Vmax_0234,0.0286141,0.00572282,0.14307
Keq_0234,0.2,0.04,1
Km1207_0234,0.1,0.02,0.5
Km1578_0234,0.1,0.02,0.5
Km0456_0234,0.1,0.02,0.5
Km1212_0234,0.1,0.02,0.5
Km1579_0234,0.1,0.02,0.5
Vmax_0235,0.0286141,0.00572282,0.14307
Keq_0235,0.01156,0.002312,0.0578
Km0297_0235,0.1,0.02,0.5
Km1198_0235,1.5,0.3,7.5
Km0209_0235,0.1,0.02,0.5
Km0456_0235,0.1,0.02,0.5
Km1203_0235,0.0867,0.01734,0.4335
Vmax_0236,0.018209,0.00364179,0.0910448
Keq_0236,2,0.4,10
Km0209_0236,0.1,0.02,0.5
Km1212_0236,0.1,0.02,0.5
Km0296_0236,0.1,0.02,0.5
Km1207_0236,0.1,0.02,0.5
Vmax_0237,0.018209,0.00364179,0.0910448
Keq_0237,2,0.4,10
Km1212_0237,0.1,0.02,0.5
Km1579_0237,0.1,0.02,0.5
Km1207_0237,0.1,0.02,0.5
Km1569_0237,0.1,0.02,0.5
Vmax_0238,0.0286141,0.00572282,0.14307
Keq_0238,20,4,100
Km0296_0238,0.1,0.02,0.5
Km1212_0238,0.1,0.02,0.5
Km1275_0238,0.1,0.02,0.5
Km1207_0238,0.1,0.02,0.5
Km1576_0238,0.1,0.02,0.5
Vmax_0239,0.0286141,0.00572282,0.14307
Keq_0239,20,4,100
Km1212_0239,0.1,0.02,0.5
Km1275_0239,0.1,0.02,0.5
Km1576_0239,0.1,0.02,0.5
Km1207_0239,0.1,0.02,0.5
Km1577_0239,0.1,0.02,0.5
Vmax_0240,0.0286141,0.00572282,0.14307
Keq_0240,20,4,100
Km1212_0240,0.1,0.02,0.5
Km1275_0240,0.1,0.02,0.5
Km1577_0240,0.1,0.02,0.5
Km1207_0240,0.1,0.02,0.5
Km1578_0240,0.1,0.02,0.5
Vmax_0241,0.371983,0.0743966,1.85992
Keq_0241,2000,400,10000
Km0122_0241,0.1,0.02,0.5
Km1212_0241,0.1,0.02,0.5
Km1275_0241,0.1,0.02,0.5
Km0297_0241,0.1,0.02,0.5
Km1207_0241,0.1,0.02,0.5
Vmax_0242,0.027662,0.0055324,0.13831
Keq_0242,20,4,100
Km0657_0242,0.1,0.02,0.5
Km1212_0242,0.1,0.02,0.5
Km1275_0242,0.1,0.02,0.5
Km0664_0242,0.1,0.02,0.5
Km1207_0242,0.1,0.02,0.5
Vmax_0243,0.00765497,0.00153099,0.0382748
Keq_0243,2,0.4,10
Km0700_0243,0.1,0.02,0.5
Km0657_0243,0.1,0.02,0.5
Vmax_0244,0.0172665,0.00345329,0.0863324
Keq_0244,2,0.4,10
Km0662_0244,0.1,0.02,0.5
Km1212_0244,0.1,0.02,0.5
Km0666_0244,0.1,0.02,0.5
Km1207_0244,0.1,0.02,0.5
Vmax_0250,4.68321,0.936641,23.416
Keq_0250,0.0538904,0.0107781,0.269452
Km0434_0250,4.29,0.858,21.45
Km0445_0250,0.1,0.02,0.5
Km0999_0250,0.1,0.02,0.5
Km0394_0250,1.29,0.258,6.45
Km0455_0250,0.1,0.02,0.5
Km0991_0250,0.298,0.0596,1.49
Km1322_0250,0.1,0.02,0.5
Vmax_0257,0.0162072,0.00324144,0.0810359
Keq_0257,2,0.4,10
Km0539_0257,0.1,0.02,0.5
Km1331_0257,0.1,0.02,0.5
Km0471_0257,0.1,0.02,0.5
Km0633_0257,0.1,0.02,0.5
Vmax_0259,0.00113962,0.000227925,0.00569812
Keq_0259,20,4,100
Km0475_0259,0.1,0.02,0.5
Km1212_0259,0.1,0.02,0.5
Km1275_0259,0.1,0.02,0.5
Km0481_0259,0.1,0.02,0.5
Km1207_0259,0.1,0.02,0.5
Vmax_0267,0.00227925,0.000455849,0.0113962
Keq_0267,20,4,100
Km0481_0267,0.1,0.02,0.5
Km1212_0267,0.1,0.02,0.5
Km1275_0267,0.1,0.02,0.5
Km0493_0267,0.1,0.02,0.5
Km1207_0267,0.1,0.02,0.5
Vmax_0269,0.00227925,0.000455849,0.0113962
Keq_0269,20,4,100
Km0493_0269,0.1,0.02,0.5
Km1212_0269,0.1,0.02,0.5
Km1275_0269,0.1,0.02,0.5
Km0499_0269,0.1,0.02,0.5
Km1207_0269,0.1,0.02,0.5
Vmax_0278,0.242932,0.0485865,1.21466
Keq_0278,2,0.4,10
Km0515_0278,0.1,0.02,0.5
Km1377_0278,0.1,0.02,0.5
Vmax_0279,0.458744,0.0917488,2.29372
Keq_0279,0.2,0.04,1
Km0324_0279,0.1,0.02,0.5
Km0515_0279,0.1,0.02,0.5
Km1322_0279,0.1,0.02,0.5
Vmax_0280,1.20024,0.240047,6.00118
Keq_0280,2,0.4,10
Km0516_0280,0.1,0.02,0.5
Km0940_0280,0.1,0.02,0.5
Vmax_0300,2.80055,0.56011,14.0028
Keq_0300,2,0.4,10
Km0373_0300,0.1,0.02,0.5
Km1271_0300,0.1,0.02,0.5
Km0522_0300,0.1,0.02,0.5
Km0529_0300,0.1,0.02,0.5
Vmax_0302,1.20024,0.240047,6.00118
Keq_0302,2,0.4,10
Km0522_0302,0.1,0.02,0.5
Km0516_0302,0.1,0.02,0.5
Vmax_0307,0.295529,0.0591058,1.47765
Keq_0307,0.0926654,0.0185331,0.463327
Km0419_0307,0.1,0.02,0.5
Km0434_0307,4.29,0.858,21.45
Km1559_0307,0.649,0.1298,3.245
Km0394_0307,1.29,0.258,6.45
Km0539_0307,0.1,0.02,0.5
Km1322_0307,0.1,0.02,0.5
Vmax_0309,0.0412581,0.00825162,0.206291
Keq_0309,10,2,50
Km1012_0309,0.1,0.02,0.5
Km1039_0309,0.2,0.04,1
Km0980_0309,0.1,0.02,0.5
Vmax_0310,0.595502,0.1191,2.97751
Keq_0310,0.02,0.004,0.1
Km0980_0310,0.1,0.02,0.5
Km0178_0310,0.1,0.02,0.5
Km0419_0310,0.1,0.02,0.5
Km0981_0310,0.1,0.02,0.5
Vmax_0311,0.405407,0.0810813,2.02703
Keq_0311,1116,223.2,5580
Km0981_0311,0.1,0.02,0.5
Km1233_0311,0.1,0.02,0.5
Km0362_0311,55.8,11.16,279
Km0980_0311,0.1,0.02,0.5
Vmax_0312,0.0577614,0.0115523,0.288807
Keq_0312,1116,223.2,5580
Km0841_0312,0.1,0.02,0.5
Km1234_0312,0.1,0.02,0.5
Km0362_0312,55.8,11.16,279
Km0981_0312,0.1,0.02,0.5
Vmax_0317,0.417029,0.0834058,2.08514
Keq_0317,200,40,1000
Km1059_0317,0.1,0.02,0.5
Km1212_0317,0.1,0.02,0.5
Km1275_0317,0.1,0.02,0.5
Km0262_0317,0.1,0.02,0.5
Km0722_0317,0.1,0.02,0.5
Km1207_0317,0.1,0.02,0.5
Vmax_0326,0.002337,0.0004674,0.011685
Keq_0326,20,4,100
Km0419_0326,0.1,0.02,0.5
Km0654_0326,0.1,0.02,0.5
Km0589_0326,0.1,0.02,0.5
Vmax_0330,0.00654359,0.00130872,0.032718
Keq_0330,6.65116,1.33023,33.2558
Km0394_0330,1.29,0.258,6.45
Km0613_0330,0.1,0.02,0.5
Km0434_0330,4.29,0.858,21.45
Km0615_0330,0.1,0.02,0.5
Vmax_0336,0.0337197,0.00674394,0.168599
Keq_0336,2,0.4,10
Km0529_0336,0.1,0.02,0.5
Km1524_0336,0.1,0.02,0.5
Km0380_0336,0.1,0.02,0.5
Km0619_0336,0.1,0.02,0.5
Vmax_0337,0.000466197,9.32395e-05,0.00233099
Keq_0337,0.2,0.04,1
Km1331_0337,0.1,0.02,0.5
Km0619_0337,0.1,0.02,0.5
Km1322_0337,0.1,0.02,0.5
Vmax_0339,0.331273,0.0662546,1.65636
Keq_0339,2,0.4,10
Km0061_0339,0.1,0.02,0.5
Km1275_0339,0.1,0.02,0.5
Km0837_0339,0.1,0.02,0.5
Km1269_0339,0.1,0.02,0.5
Vmax_0340,0.00051801,0.000103602,0.00259005
Keq_0340,20,4,100
Km1084_0340,0.1,0.02,0.5
Km1445_0340,0.1,0.02,0.5
Km0475_0340,0.1,0.02,0.5
Vmax_0344,0.00966728,0.00193346,0.0483364
Keq_0344,2,0.4,10
Km0625_0344,0.1,0.02,0.5
Km1212_0344,0.1,0.02,0.5
Km1207_0344,0.1,0.02,0.5
Km1487_0344,0.1,0.02,0.5
Vmax_0349,0.141974,0.0283948,0.70987
Keq_0349,2,0.4,10
Km1194_0349,0.1,0.02,0.5
Km0061_0349,0.1,0.02,0.5
Vmax_0352,0.585115,0.117023,2.92557
Keq_0352,2,0.4,10
Km0016_0352,0.1,0.02,0.5
Km0232_0352,0.1,0.02,0.5
Vmax_0353,0.198501,0.0397001,0.992503
Keq_0353,2,0.4,10
Km0008_0353,0.1,0.02,0.5
Km0056_0353,0.1,0.02,0.5
Vmax_0355,0.0368919,0.00737837,0.184459
Keq_0355,2,0.4,10
Km0943_0355,0.1,0.02,0.5
Km1376_0355,0.1,0.02,0.5
Km0633_0355,0.1,0.02,0.5
Km0745_0355,0.1,0.02,0.5
Vmax_0361,2.21082,0.442164,11.0541
Keq_0361,2,0.4,10
Km0645_0361,0.1,0.02,0.5
Km0743_0361,0.1,0.02,0.5
Km0644_0361,0.1,0.02,0.5
Km0739_0361,0.1,0.02,0.5
Vmax_0362,1.57916,0.315831,7.89578
Keq_0362,0.2,0.04,1
Km0644_0362,0.1,0.02,0.5
Km0645_0362,0.1,0.02,0.5
Km1107_0362,0.1,0.02,0.5
Vmax_0364,0.0092422,0.00184844,0.046211
Keq_0364,0.2,0.04,1
Km0656_0364,0.1,0.02,0.5
Km0633_0364,0.1,0.02,0.5
Km0654_0364,0.1,0.02,0.5
Vmax_0366,17.5301,3.50602,87.6505
Keq_0366,18.1065,3.6213,90.5325
Km0188_0366,0.0169,0.00338,0.0845
Km1360_0366,0.153,0.0306,0.765
Vmax_0386,0.0048693,0.00097386,0.0243465
Keq_0386,0.2,0.04,1
Km0595_0386,0.1,0.02,0.5
Km1101_0386,0.1,0.02,0.5
Km1212_0386,0.1,0.02,0.5
Km0456_0386,0.1,0.02,0.5
Km0529_0386,0.1,0.02,0.5
Km1065_0386,0.1,0.02,0.5
Km1207_0386,0.1,0.02,0.5
Vmax_0387,0.0048693,0.00097386,0.0243465
Keq_0387,0.2,0.04,1
Km1065_0387,0.1,0.02,0.5
Km1101_0387,0.1,0.02,0.5
Km1212_0387,0.1,0.02,0.5
Km0456_0387,0.1,0.02,0.5
Km0529_0387,0.1,0.02,0.5
Km1161_0387,0.1,0.02,0.5
Km1207_0387,0.1,0.02,0.5
Vmax_0389,0.0048693,0.00097386,0.0243465
Keq_0389,0.2,0.04,1
Km1101_0389,0.1,0.02,0.5
Km1161_0389,0.1,0.02,0.5
Km1212_0389,0.1,0.02,0.5
Km0456_0389,0.1,0.02,0.5
Km0529_0389,0.1,0.02,0.5
Km1207_0389,0.1,0.02,0.5
Km1286_0389,0.1,0.02,0.5
Vmax_0391,0.0048693,0.00097386,0.0243465
Keq_0391,0.2,0.04,1
Km1101_0391,0.1,0.02,0.5
Km1212_0391,0.1,0.02,0.5
Km1286_0391,0.1,0.02,0.5
Km0456_0391,0.1,0.02,0.5
Km0529_0391,0.1,0.02,0.5
Km1207_0391,0.1,0.02,0.5
Km1449_0391,0.1,0.02,0.5
Vmax_0393,1.90939,0.381877,9.54693
Keq_0393,0.002,0.0004,0.01
Km1101_0393,0.1,0.02,0.5
Km1212_0393,0.1,0.02,0.5
Km1449_0393,0.1,0.02,0.5
Km0456_0393,0.1,0.02,0.5
Km0529_0393,0.1,0.02,0.5
Km1084_0393,0.1,0.02,0.5
Km1207_0393,0.1,0.02,0.5
Vmax_0397,0.680951,0.13619,3.40476
Keq_0397,0.2,0.04,1
Km1101_0397,0.1,0.02,0.5
Km1212_0397,0.1,0.02,0.5
Km1255_0397,0.1,0.02,0.5
Km0456_0397,0.1,0.02,0.5
Km0529_0397,0.1,0.02,0.5
Km0602_0397,0.1,0.02,0.5
Km1207_0397,0.1,0.02,0.5
Vmax_0398,133.51,26.702,667.55
Keq_0398,0.002,0.0004,0.01
Km0373_0398,0.1,0.02,0.5
Km1101_0398,0.1,0.02,0.5
Km1212_0398,0.1,0.02,0.5
Km0456_0398,0.1,0.02,0.5
Km0529_0398,0.1,0.02,0.5
Km1207_0398,0.1,0.02,0.5
Km1255_0398,0.1,0.02,0.5
Vmax_0399,0.212663,0.0425326,1.06331
Keq_0399,19.5,3.9,97.5
Km0423_0399,0.44,0.088,2.2
Km0602_0399,0.1,0.02,0.5
Km0633_0399,0.1,0.02,0.5
Km0434_0399,4.29,0.858,21.45
Km0529_0399,0.1,0.02,0.5
Km0595_0399,0.1,0.02,0.5
Vmax_0407,0.00155403,0.000310806,0.00777016
Keq_0407,19.5,3.9,97.5
Km0423_0407,0.44,0.088,2.2
Km0633_0407,0.1,0.02,0.5
Km1454_0407,0.1,0.02,0.5
Km0434_0407,4.29,0.858,21.45
Km0529_0407,0.1,0.02,0.5
Km1449_0407,0.1,0.02,0.5
Vmax_0432,0.0146079,0.00292158,0.0730395
Keq_0432,0.2,0.04,1
Km0602_0432,0.1,0.02,0.5
Km1101_0432,0.1,0.02,0.5
Km1212_0432,0.1,0.02,0.5
Km0456_0432,0.1,0.02,0.5
Km0529_0432,0.1,0.02,0.5
Km1073_0432,0.1,0.02,0.5
Km1207_0432,0.1,0.02,0.5
Vmax_0433,0.0146079,0.00292158,0.0730395
Keq_0433,0.2,0.04,1
Km1073_0433,0.1,0.02,0.5
Km1101_0433,0.1,0.02,0.5
Km1212_0433,0.1,0.02,0.5
Km0456_0433,0.1,0.02,0.5
Km0529_0433,0.1,0.02,0.5
Km1176_0433,0.1,0.02,0.5
Km1207_0433,0.1,0.02,0.5
Vmax_0434,0.0146079,0.00292158,0.0730395
Keq_0434,0.2,0.04,1
Km1101_0434,0.1,0.02,0.5
Km1176_0434,0.1,0.02,0.5
Km1212_0434,0.1,0.02,0.5
Km0456_0434,0.1,0.02,0.5
Km0529_0434,0.1,0.02,0.5
Km1207_0434,0.1,0.02,0.5
Km1302_0434,0.1,0.02,0.5
Vmax_0435,0.0048693,0.00097386,0.0243465
Keq_0435,0.2,0.04,1
Km1101_0435,0.1,0.02,0.5
Km1212_0435,0.1,0.02,0.5
Km1302_0435,0.1,0.02,0.5
Km0456_0435,0.1,0.02,0.5
Km0529_0435,0.1,0.02,0.5
Km1207_0435,0.1,0.02,0.5
Km1454_0435,0.1,0.02,0.5
Vmax_0438,133.133,26.6267,665.667
Keq_0438,20,4,100
Km0710_0438,0.1,0.02,0.5
